# Query-Ownership-Registry — maschinenlesbare Fassung der Regel
# "Money-Page besitzt die Query" (docs/standards/BRAND_AND_COPY.md)
# und "keine zwei Seiten mit gleichem Keyword-Ziel" (docs/seo/seo-content-system.md §8).
#
# Zweck: Vor dem Anlegen einer neuen Seite/eines neuen Beitrags pruefen, ob die
# Ziel-Intention bereits eine besitzende URL hat:
#   bash agents/skills/seo-agent/scripts/intent-gate.sh check "<query>" [<ziel-slug>]
#   bash agents/skills/seo-agent/scripts/intent-gate.sh audit
#
# Spalten:
#   query          Head-Term/Intention in Kleinschreibung, Umlaute ausgeschrieben
#   owner_path     Die EINE URL, die diese Query besitzen soll
#   intent         transactional | commercial | informational | navigational | local
#   status         owned = besitzt die Query | support = darf unterstuetzen, nicht ranken
#   source         Belegstelle im Repo (kein geratener Wert)
#   distinct_from  Mit "|" getrennte Queries, deren Naehe bewusst akzeptiert ist.
#                  Nur befuellen, wenn die Intent-Trennung irgendwo belegt ist —
#                  diese Spalte schaltet eine Warnung ab, also ist sie eine Entscheidung.
#
# Belege stammen aus seo-research/2026-07/reports/ (GSC-Exporte). Keine erfundenen
# Volumina. Neue Zeilen nur mit Quellenangabe eintragen.
#
# Bewusst OHNE Owner (2026-08-02): "solar leads", "pv leads", "leads solar" und
# "solar lead generation". Sie standen auf /b2b-solar-leads/, obwohl diese URL nur
# Gewerbe-PV- und PV-Termine-B2B-Intent besitzt. Die Queries sind zu breit, um sie
# ohne Beleg einer anderen Money-Page zuzuweisen — sie bleiben offen, bis der
# Suchintent belegt getrennt ist. gap-report.sh meldet sie so lange als
# REGISTRY-LUECKE. Das ist der gewollte Zustand, kein Versehen.
#
# Ownership-Linie WordPress/Tracking (2026-08-16): Lokale WordPress-Queries sind
# nicht mehr pauschal eine einzige Route. Drei Intents bleiben strikt getrennt:
#
#   Agentur-Intent (`wordpress agentur ...`)      -> /wordpress-agentur-hannover/
#   Freelancer-Intent (`wordpress freelancer ...`)-> / (Konsolidierung 2026-09-13)
#   White-Label-/Partner-Intent                   -> /whitelabel-retainer/
#   Server-Side-Tracking-Terme                    -> /server-side-tracking-b2b/
#   Conversion-Tracking-/GA4-Setup-Kaufintent    -> /ga4-tracking-setup/ (2026-09-26)
#
# Die Trennung der Agentur- und Freelancer-Route ist in
# docs/decisions/wordpress-freelancer-hannover.md belegt. "wordpress seo hannover"
# und "wordpress wartung hannover" bleiben auf der Agentur-Money-Page; die alten
# Spezial-Slugs liefern 410 Gone. Tracking-Queries laufen nicht in lokale
# WordPress-Routen, nur weil Tracking dort fachlich vorkommt.
query;owner_path;intent;status;source;distinct_from
server side tracking agentur;/server-side-tracking-b2b/;commercial;owned;gsc-verlauf-2026-07-20.md#verlauf;
server side tracking dsgvo;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 65,2) — Title traegt seit 2026-08-08 "Consent" statt "CAPI", damit dieses Signal beim Money-Page-Umbau nicht verloren geht — DSGVO-Deckung liegt in FAQ und Sicherheits-Sektion;
wordpress agentur hannover;/wordpress-agentur-hannover/;local;owned;gsc-verlauf-2026-07-20.md#critical-1;wordpress freelancer hannover
wordpress freelancer hannover;/;local;owned;docs/decisions/homepage-freelancer-konsolidierung.md;wordpress agentur hannover|wordpress freelancer
wordpress freelancer;/;commercial;owned;docs/decisions/homepage-freelancer-konsolidierung.md;wordpress freelancer hannover|wordpress agentur hannover
checkfox;/checkfox-solar-waermepumpe-einordnung/;navigational;owned;gsc-export-28d-2026-07-30.csv (Pos. 16,5, Vol. 1900);checkfox erfahrungen|checkfox serioes
aroundhome erfahrungen;/aroundhome-solar-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 33,0);aroundhome
aroundhome kosten;/aroundhome-solar-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 6,9);aroundhome
checkfox erfahrungen;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-verlauf-2026-07-20.md#high-leverage-3;
checkfox serioes;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-verlauf-2026-07-20.md#high-leverage-3;
wattfox;/wattfox-solar-leads-einordnung/;navigational;owned;blog-provider-posts.php Publish-Seed — GSC 28d 2026-07-30: /solar-leads-kaufen-alternative/ rankt Pos. 30,7 (Owner-Konflikt offen);
aroundhome;/aroundhome-solar-einordnung/;navigational;owned;seo-cockpit 28d 2026-07-26 + gap-report;
daa leads;/daa-photovoltaik-leads-einordnung/;commercial;owned;blog-provider-posts.php Publish-Seed;
wordpress hannover;/wordpress-agentur-hannover/;local;owned;seo-cockpit 28d 2026-07-26 (Pos. 26,8);wordpress agentur hannover|wordpress freelancer hannover
pv leads gewerbe;/b2b-solar-leads/;commercial;owned;seo-cockpit 28d 2026-07-26 (23 Impr., Pos. 14,7);
checkfox solar;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 9,0);checkfox
checkfox erfahrung;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 9,0);checkfox erfahrungen
checkfox photovoltaik;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 14,0);checkfox
checkfox photovoltaik serioes;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 6,3);checkfox serioes
checkfox waermepumpe;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 11,7);checkfox
checkfox bewertung;/checkfox-solar-waermepumpe-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 10,4, 29 Impr.);checkfox erfahrungen
ist checkfox serioes;/checkfox-solar-waermepumpe-einordnung/;informational;owned;gsc-export-28d-2026-07-30.csv (Pos. 7,4, 16 Impr.);checkfox serioes
was ist checkfox;/checkfox-solar-waermepumpe-einordnung/;informational;owned;gsc-export-28d-2026-07-30.csv (Pos. 10,3);checkfox
aroundhome kosten fuer handwerker;/aroundhome-solar-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 4,5, 8 Impr.);aroundhome kosten
aroundhome solaranlage;/aroundhome-solar-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 13,4, 8 Impr.);aroundhome
wattfox leads kaufen;/wattfox-solar-leads-einordnung/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 18,0, 2 Impr. auf /solar-leads-kaufen-alternative/) — Anbieter-Query bleibt beim Anbieterartikel;wattfox|solar leads kaufen
# Ortsqualifizierte WordPress-Queries. Agentur- und Freelancer-Intent werden
# seit 2026-08-16 getrennt; "woocommerce agentur hannover" steht bewusst in
# keyword-exclusions.csv.
wordpress agenturen hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 28,8, 4 Impr.) — Plural-Variante;wordpress agentur hannover|wordpress freelancer hannover
agentur wordpress hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 31,5, 6 Impr.) — Wortstellungs-Variante;wordpress agentur hannover|wordpress freelancer hannover
wordpress agentur niedersachsen;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 61,9, 17 Impr.) — Bundesland-Variante des lokalen Ankers;wordpress agentur hannover
wordpress website hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 42,6, 8 Impr.);wordpress agentur hannover|wordpress freelancer hannover
wordpress experte hannover;/;local;owned;docs/decisions/homepage-freelancer-konsolidierung.md;wordpress agentur hannover|wordpress freelancer hannover
wordpress entwicklung hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 54,0, 1 Impr.);wordpress agentur hannover
wordpress seo hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 25,7, 9 Impr.) — /wordpress-seo-hannover/ ist 410 Gone, Signal bleibt auf der lokalen Money-Page;wordpress agentur hannover
wordpress suchmaschinenoptimierung hannover;/wordpress-agentur-hannover/;local;owned;gsc-export-28d-2026-07-30.csv (Pos. 26,4, 5 Impr.) — deutsche Variante von "wordpress seo hannover";wordpress seo hannover|wordpress agentur hannover
wordpress wartung hannover;/wordpress-agentur-hannover/;commercial;owned;"gsc-export-28d-2026-07-30.csv (Pos. 13,0, 1 Impr.; 28d davor Pos. 19,0, 6 Impr.)";wordpress agentur hannover
wordpress wartungsvertrag hannover;/wordpress-agentur-hannover/;transactional;owned;"gsc-export-28d-2026-07-30.csv (Pos. 48,5, 4 Impr.; 28d davor Pos. 20,9, 10 Impr.)";wordpress agentur hannover
# Nicht ortsqualifizierte Tracking-Queries (2026-08-06). Ebenfalls je genau eine
# rankende URL. "elevar server side tracking" und "server side tracking regensburg"
# stehen bewusst in keyword-exclusions.csv.
serverside tracking agentur;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 58,3, 19 Impr.) — Schreibvariante;server side tracking agentur
agentur server side tracking;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 37,6, 5 Impr.) — Wortstellungs-Variante;server side tracking agentur
server-side tracking dsgvo;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 66,1, 14 Impr.) — Bindestrich-Variante, im Cockpit als eigene Query gezaehlt;server side tracking dsgvo
serverseitiges tracking dsgvo;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 85,7, 3 Impr.) — deutsche Variante;server side tracking dsgvo
server side tracking anbieter;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 71,2, 6 Impr.);server side tracking agentur
tracking loesungen b2b;/server-side-tracking-b2b/;commercial;owned;gsc-export-28d-2026-07-30.csv (Pos. 37,0, 2 Impr.);server side tracking
# Performance-Marketing-Intent (2026-09-22): /performance-marketing/ besitzt den
# B2B-Kaufintent "erst Messung und Zielseite, dann Budget". Noch ohne GSC-Beleg;
# die Zeile sichert die Zuordnung, damit kein Beitrag die Query doppelt besetzt.
performance marketing b2b;/performance-marketing/;commercial;owned;wgos-cluster-pages.php meta_title (2026-09-22);
# Tracking-Angebot (2026-09-26): /ga4-tracking-setup/ ist Ziel des Kopfpunkts
# "Tracking" und verkauft Stufe 1 der Tracking-Leiter (clientseitig). Server-Side-
# Terme bleiben bei /server-side-tracking-b2b/. Bis hierher hatte die Seite keine
# Zeile, und der Kommentar oben schrieb alle Tracking-Terme der Fachseite zu.
conversion tracking einrichten lassen;/ga4-tracking-setup/;commercial;owned;page-ga4.php meta_title (2026-09-26), docs/decisions/tracking-preisleiter.md;server side tracking
ga4 setup agentur;/ga4-tracking-setup/;commercial;owned;gsc-export-90d-2026-09-22.csv (Pos. 60,0, 3 Impr.);server side tracking agentur
# Website-Relaunch-Intent (2026-09-24): Cornerstone /website-relaunch/ im Dossier
# Conversion & Anfragearchitektur. Gate-Pruefung 2026-09-24: FREI.
website relaunch;/website-relaunch/;informational;owned;Google Keyword Planner Export 2026-09-23, DE, Stufe 500/Monat;

# Glossar (2026-09-24): eng umrissene Definitionsfragen, redaktionell zugeordnet.
# Keine Behauptung zu Suchvolumen oder Rankings; kommerzielle Owner bleiben bestehen.
# CTA-Hierarchie bleibt noindex ohne eigenes Ranking-Ziel.
301 weiterleitung bedeutung;/glossar/301-weiterleitung/;informational;owned;docs/seo/glossar-indexierung.md;
a b test bedeutung;/glossar/ab-test/;informational;owned;docs/seo/glossar-indexierung.md;
above the fold bedeutung;/glossar/above-the-fold/;informational;owned;docs/seo/glossar-indexierung.md;
attribution bedeutung;/glossar/attribution/;informational;owned;docs/seo/glossar-indexierung.md;
buyer persona bedeutung;/glossar/buyer-persona/;informational;owned;docs/seo/glossar-indexierung.md;
caching bedeutung;/glossar/caching/;informational;owned;docs/seo/glossar-indexierung.md;
call to action bedeutung;/glossar/call-to-action/;informational;owned;docs/seo/glossar-indexierung.md;
canonical url bedeutung;/glossar/canonical-url/;informational;owned;docs/seo/glossar-indexierung.md;
cdn bedeutung;/glossar/cdn/;informational;owned;docs/seo/glossar-indexierung.md;
cls bedeutung;/glossar/cls/;informational;owned;docs/seo/glossar-indexierung.md;
consent mode bedeutung;/glossar/consent-mode/;informational;owned;docs/seo/glossar-indexierung.md;
conversion bedeutung;/glossar/conversion/;informational;owned;docs/seo/glossar-indexierung.md;conversion rate bedeutung
conversion rate bedeutung;/glossar/conversion-rate/;informational;owned;docs/seo/glossar-indexierung.md;
cost per lead bedeutung;/glossar/cost-per-lead/;informational;owned;docs/seo/glossar-indexierung.md;cost per lead photovoltaik
crawling bedeutung;/glossar/crawling/;informational;owned;docs/seo/glossar-indexierung.md;
crm bedeutung;/glossar/crm/;informational;owned;docs/seo/glossar-indexierung.md;
customer journey bedeutung;/glossar/customer-journey/;informational;owned;docs/seo/glossar-indexierung.md;
data layer bedeutung;/glossar/data-layer/;informational;owned;docs/seo/glossar-indexierung.md;
debugview bedeutung;/glossar/debugview/;informational;owned;docs/seo/glossar-indexierung.md;
ereignisparameter bedeutung;/glossar/ereignisparameter/;informational;owned;docs/seo/glossar-indexierung.md;
formularabbruch bedeutung;/glossar/formularabbruch/;informational;owned;docs/seo/glossar-indexierung.md;
ga4 sitzung bedeutung;/glossar/sitzung/;informational;owned;docs/seo/glossar-indexierung.md;ga4 sitzung mit interaktion bedeutung
ga4 sitzung mit interaktion bedeutung;/glossar/sitzung-mit-interaktion/;informational;owned;docs/seo/glossar-indexierung.md;
icp bedeutung;/glossar/icp/;informational;owned;docs/seo/glossar-indexierung.md;
indexierung bedeutung;/glossar/indexierung/;informational;owned;docs/seo/glossar-indexierung.md;
inp bedeutung;/glossar/inp/;informational;owned;docs/seo/glossar-indexierung.md;
interne verlinkung bedeutung;/glossar/interne-verlinkung/;informational;owned;docs/seo/glossar-indexierung.md;
landingpage bedeutung;/glossar/landingpage/;informational;owned;docs/seo/glossar-indexierung.md;
lazy loading bedeutung;/glossar/lazy-loading/;informational;owned;docs/seo/glossar-indexierung.md;
lcp bedeutung;/glossar/lcp/;informational;owned;docs/seo/glossar-indexierung.md;
lead bedeutung;/glossar/lead/;informational;owned;docs/seo/glossar-indexierung.md;lead scoring bedeutung|lead qualifizierung bedeutung|lead nurturing bedeutung
lead nurturing bedeutung;/glossar/lead-nurturing/;informational;owned;docs/seo/glossar-indexierung.md;
lead qualifizierung bedeutung;/glossar/lead-qualifizierung/;informational;owned;docs/seo/glossar-indexierung.md;
lead scoring bedeutung;/glossar/lead-scoring/;informational;owned;docs/seo/glossar-indexierung.md;
message match bedeutung;/glossar/message-match/;informational;owned;docs/seo/glossar-indexierung.md;
meta description bedeutung;/glossar/meta-description/;informational;owned;docs/seo/glossar-indexierung.md;
microconversion bedeutung;/glossar/microconversion/;informational;owned;docs/seo/glossar-indexierung.md;
mql bedeutung;/glossar/mql/;informational;owned;docs/seo/glossar-indexierung.md;
noindex bedeutung;/glossar/noindex/;informational;owned;docs/seo/glossar-indexierung.md;
owned leads bedeutung;/glossar/owned-leads/;informational;owned;docs/seo/glossar-indexierung.md;
render blockierende ressourcen bedeutung;/glossar/render-blockierende-ressourcen/;informational;owned;docs/seo/glossar-indexierung.md;
responsive design bedeutung;/glossar/responsive-design/;informational;owned;docs/seo/glossar-indexierung.md;
robots txt bedeutung;/glossar/robots-txt/;informational;owned;docs/seo/glossar-indexierung.md;
sales pipeline bedeutung;/glossar/sales-pipeline/;informational;owned;docs/seo/glossar-indexierung.md;
sales qualified lead bedeutung;/glossar/sql/;informational;owned;docs/seo/glossar-indexierung.md;
schluesselereignis bedeutung;/glossar/schluesselereignis/;informational;owned;docs/seo/glossar-indexierung.md;
staging bedeutung;/glossar/staging/;informational;owned;docs/seo/glossar-indexierung.md;
strukturierte daten bedeutung;/glossar/strukturierte-daten/;informational;owned;docs/seo/glossar-indexierung.md;
suchintention bedeutung;/glossar/suchintention/;informational;owned;docs/seo/glossar-indexierung.md;
tag manager trigger bedeutung;/glossar/trigger/;informational;owned;docs/seo/glossar-indexierung.md;
title tag bedeutung;/glossar/title-tag/;informational;owned;docs/seo/glossar-indexierung.md;
tracking ereignis bedeutung;/glossar/tracking-ereignis/;informational;owned;docs/seo/glossar-indexierung.md;
tracking tag bedeutung;/glossar/tracking-tag/;informational;owned;docs/seo/glossar-indexierung.md;
ttfb bedeutung;/glossar/ttfb/;informational;owned;docs/seo/glossar-indexierung.md;
usability bedeutung;/glossar/usability/;informational;owned;docs/seo/glossar-indexierung.md;
utm parameter bedeutung;/glossar/utm-parameter/;informational;owned;docs/seo/glossar-indexierung.md;
webp bedeutung;/glossar/webp/;informational;owned;docs/seo/glossar-indexierung.md;
wordpress child theme bedeutung;/glossar/wordpress-child-theme/;informational;owned;docs/seo/glossar-indexierung.md;
xml sitemap bedeutung;/glossar/xml-sitemap/;informational;owned;docs/seo/glossar-indexierung.md;
